"PAIntentionsraw","PABehavioursraw","PAHabitraw","PAIdentityraw"
"3 days","0 days","Strongly Agree","Agree"
"6 days","2 days","Neither Agree nor Disagree","Disagree"
"7 days","6 days","Neither Agree nor Disagree","Strongly Disagree"
"1 day","5 days","Disagree","Strongly Disagree"
"4 days","7 days","Disagree","Strongly Agree"
"6 days","3 days","Strongly Disagree","Strongly Disagree"
"0 days","2 days","Neither Agree nor Disagree","Strongly Agree"
"0 days","2 days","Strongly Agree","Agree"
"1 day","7 days","Neither Agree nor Disagree","Strongly Disagree"
"6 days","7 days","Strongly Agree","Strongly Disagree"
"2 days","2 days","Strongly Disagree","Neither Agree nor Disagree"
"3 days","5 days","Disagree","Strongly Agree"
"4 days","6 days","Agree","Strongly Agree"
"6 days","3 days","Neither Agree nor Disagree","Strongly Disagree"
"4 days","7 days","Strongly Agree","Strongly Disagree"
"2 days","3 days","Strongly Agree","Neither Agree nor Disagree"
"7 days","2 days","Strongly Agree","Strongly Disagree"
"5 days","5 days","Agree","Strongly Disagree"
"0 days","7 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"1 day","5 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"4 days","3 days","Disagree","Disagree"
"4 days","6 days","Disagree","Strongly Disagree"
"7 days","1 day","Disagree","Strongly Agree"
"3 days","7 days","Disagree","Agree"
"6 days","2 days","Disagree","Strongly Agree"
"4 days","7 days","Neither Agree nor Disagree","Disagree"
"1 day","5 days","Strongly Disagree","Strongly Agree"
"0 days","7 days","Strongly Disagree","Strongly Disagree"
"0 days","3 days","Strongly Disagree","Neither Agree nor Disagree"
"2 days","1 day","Strongly Disagree","Strongly Disagree"
"0 days","0 days","Neither Agree nor Disagree","Strongly Disagree"
"5 days","5 days","Strongly Disagree","Strongly Agree"
"4 days","2 days","Disagree","Disagree"
"6 days","3 days","Neither Agree nor Disagree","Strongly Disagree"
"0 days","0 days","Agree","Disagree"
"6 days","0 days","Agree","Neither Agree nor Disagree"
"1 day","3 days","Neither Agree nor Disagree","Strongly Disagree"
"3 days","6 days","Agree","Strongly Agree"
"6 days","3 days","Disagree","Disagree"
"7 days","5 days","Neither Agree nor Disagree","Disagree"
"3 days","4 days","Agree","Strongly Disagree"
"5 days","0 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"5 days","7 days","Agree","Strongly Disagree"
"2 days","6 days","Strongly Agree","Agree"
"7 days","6 days","Strongly Disagree","Strongly Disagree"
"5 days","3 days","Strongly Agree","Agree"
"5 days","6 days","Agree","Disagree"
"6 days","4 days","Strongly Agree","Neither Agree nor Disagree"
"6 days","5 days","Strongly Disagree","Neither Agree nor Disagree"
"7 days","5 days","Strongly Disagree","Strongly Agree"
"0 days","6 days","Strongly Disagree","Strongly Disagree"
"5 days","6 days","Disagree","Neither Agree nor Disagree"
"1 day","7 days","Disagree","Strongly Disagree"
"0 days","2 days","Agree","Agree"
"1 day","7 days","Strongly Disagree","Neither Agree nor Disagree"
"3 days","6 days","Disagree","Strongly Disagree"
"4 days","1 day","Strongly Disagree","Neither Agree nor Disagree"
"4 days","4 days","Neither Agree nor Disagree","Strongly Disagree"
"5 days","6 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"6 days","3 days","Strongly Disagree","Agree"
"2 days","7 days","Agree","Strongly Disagree"
"0 days","3 days","Neither Agree nor Disagree","Strongly Disagree"
"3 days","5 days","Strongly Agree","Disagree"
"5 days","7 days","Disagree","Strongly Agree"
"0 days","0 days","Agree","Disagree"
"7 days","2 days","Disagree","Strongly Agree"
"5 days","2 days","Disagree","Neither Agree nor Disagree"
"0 days","2 days","Strongly Disagree","Disagree"
"6 days","5 days","Strongly Disagree","Agree"
"2 days","4 days","Neither Agree nor Disagree","Strongly Agree"
"7 days","1 day","Strongly Agree","Strongly Disagree"
"7 days","6 days","Strongly Agree","Strongly Agree"
"5 days","4 days","Strongly Disagree","Strongly Disagree"
"3 days","1 day","Agree","Strongly Disagree"
"6 days","0 days","Disagree","Disagree"
"0 days","5 days","Neither Agree nor Disagree","Disagree"
"5 days","5 days","Neither Agree nor Disagree","Strongly Disagree"
"5 days","3 days","Disagree","Neither Agree nor Disagree"
"7 days","6 days","Strongly Agree","Strongly Disagree"
"2 days","5 days","Agree","Disagree"
"5 days","5 days","Strongly Disagree","Neither Agree nor Disagree"
"4 days","5 days","Agree","Strongly Disagree"
"7 days","1 day","Neither Agree nor Disagree","Strongly Disagree"
"6 days","1 day","Strongly Agree","Disagree"
"2 days","7 days","Strongly Agree","Agree"
"6 days","7 days","Agree","Strongly Agree"
"5 days","2 days","Strongly Agree","Strongly Disagree"
"1 day","4 days","Strongly Disagree","Strongly Agree"
"6 days","0 days","Strongly Agree","Disagree"
"4 days","6 days","Agree","Strongly Disagree"
"4 days","2 days","Strongly Agree","Agree"
"7 days","6 days","Strongly Agree","Agree"
"2 days","7 days","Strongly Agree","Neither Agree nor Disagree"
"1 day","2 days","Neither Agree nor Disagree","Disagree"
"1 day","1 day","Agree","Agree"
"1 day","4 days","Strongly Agree","Neither Agree nor Disagree"
"3 days","0 days","Strongly Agree","Neither Agree nor Disagree"
"1 day","6 days","Agree","Disagree"
"1 day","5 days","Agree","Strongly Disagree"
"5 days","7 days","Neither Agree nor Disagree","Agree"
"6 days","3 days","Neither Agree nor Disagree","Strongly Agree"
"3 days","5 days","Agree","Strongly Agree"
"3 days","7 days","Strongly Disagree","Strongly Agree"
"5 days","6 days","Agree","Strongly Agree"
"0 days","3 days","Disagree","Disagree"
"5 days","7 days","Disagree","Disagree"
"5 days","0 days","Agree","Strongly Agree"
"5 days","2 days","Strongly Disagree","Neither Agree nor Disagree"
"2 days","3 days","Strongly Disagree","Strongly Disagree"
"7 days","6 days","Disagree","Disagree"
"5 days","3 days","Agree","Disagree"
"2 days","0 days","Strongly Agree","Strongly Agree"
"5 days","4 days","Neither Agree nor Disagree","Strongly Agree"
"6 days","2 days","Strongly Disagree","Strongly Disagree"
"7 days","6 days","Neither Agree nor Disagree","Strongly Disagree"
"0 days","3 days","Neither Agree nor Disagree","Disagree"
"6 days","1 day","Disagree","Disagree"
"2 days","5 days","Agree","Disagree"
"6 days","7 days","Strongly Disagree","Neither Agree nor Disagree"
"4 days","6 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"6 days","5 days","Strongly Agree","Strongly Agree"
"6 days","6 days","Strongly Agree","Strongly Disagree"
"1 day","2 days","Strongly Agree","Neither Agree nor Disagree"
"5 days","1 day","Disagree","Disagree"
"5 days","2 days","Strongly Agree","Strongly Agree"
"6 days","2 days","Strongly Agree","Strongly Disagree"
"7 days","0 days","Strongly Disagree","Neither Agree nor Disagree"
"6 days","6 days","Strongly Agree","Disagree"
"2 days","4 days","Strongly Disagree","Agree"
"1 day","5 days","Disagree","Strongly Disagree"
"4 days","3 days","Strongly Disagree","Strongly Disagree"
"5 days","3 days","Strongly Disagree","Neither Agree nor Disagree"
"7 days","4 days","Disagree","Disagree"
"7 days","6 days","Agree","Strongly Disagree"
"7 days","2 days","Strongly Agree","Disagree"
"4 days","1 day","Disagree","Neither Agree nor Disagree"
"6 days","7 days","Disagree","Disagree"
"2 days","3 days","Disagree","Agree"
"3 days","5 days","Agree","Agree"
"3 days","4 days","Strongly Agree","Disagree"
"5 days","1 day","Disagree","Strongly Disagree"
"3 days","6 days","Neither Agree nor Disagree","Disagree"
"4 days","2 days","Strongly Disagree","Neither Agree nor Disagree"
"2 days","2 days","Agree","Agree"
"0 days","5 days","Neither Agree nor Disagree","Strongly Agree"
"6 days","0 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"5 days","5 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"1 day","7 days","Disagree","Disagree"
"0 days","2 days","Agree","Neither Agree nor Disagree"
"6 days","1 day","Agree","Agree"
"1 day","2 days","Disagree","Strongly Disagree"
"7 days","7 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"4 days","2 days","Strongly Disagree","Disagree"
"2 days","0 days","Agree","Strongly Disagree"
"7 days","5 days","Strongly Disagree","Strongly Agree"
"3 days","1 day","Strongly Disagree","Agree"
"6 days","1 day","Agree","Strongly Agree"
"6 days","7 days","Neither Agree nor Disagree","Disagree"
"3 days","7 days","Strongly Agree","Disagree"
"0 days","1 day","Disagree","Strongly Disagree"
"7 days","3 days","Strongly Agree","Neither Agree nor Disagree"
"5 days","5 days","Disagree","Neither Agree nor Disagree"
"5 days","0 days","Agree","Strongly Agree"
"3 days","4 days","Disagree","Neither Agree nor Disagree"
"0 days","6 days","Disagree","Neither Agree nor Disagree"
"7 days","7 days","Agree","Agree"
"7 days","4 days","Agree","Neither Agree nor Disagree"
"5 days","2 days","Strongly Disagree","Neither Agree nor Disagree"
"2 days","6 days","Neither Agree nor Disagree","Strongly Disagree"
"7 days","5 days","Strongly Disagree","Strongly Disagree"
"3 days","7 days","Neither Agree nor Disagree","Agree"
"7 days","2 days","Neither Agree nor Disagree","Agree"
"2 days","5 days","Neither Agree nor Disagree","Strongly Agree"
"4 days","4 days","Strongly Agree","Agree"
"3 days","7 days","Disagree","Strongly Disagree"
"3 days","0 days","Strongly Disagree","Neither Agree nor Disagree"
"3 days","3 days","Strongly Agree","Neither Agree nor Disagree"
"5 days","7 days","Neither Agree nor Disagree","Strongly Agree"
"0 days","1 day","Neither Agree nor Disagree","Strongly Disagree"
"1 day","4 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2 days","6 days","Neither Agree nor Disagree","Strongly Disagree"
"3 days","5 days","Strongly Disagree","Neither Agree nor Disagree"
"2 days","7 days","Neither Agree nor Disagree","Agree"
"0 days","7 days","Neither Agree nor Disagree","Strongly Agree"
"6 days","3 days","Disagree","Disagree"
"7 days","5 days","Strongly Agree","Strongly Agree"
"5 days","6 days","Strongly Agree","Strongly Agree"
"4 days","4 days","Disagree","Agree"
"4 days","7 days","Strongly Agree","Neither Agree nor Disagree"
"1 day","0 days","Disagree","Agree"
"2 days","1 day","Neither Agree nor Disagree","Disagree"
"4 days","2 days","Strongly Disagree","Strongly Agree"
"5 days","0 days","Neither Agree nor Disagree","Agree"
"5 days","0 days","Neither Agree nor Disagree","Agree"
"0 days","2 days","Strongly Agree","Strongly Agree"
"7 days","6 days","Strongly Agree","Agree"
"3 days","1 day","Disagree","Neither Agree nor Disagree"
"7 days","3 days","Agree","Strongly Disagree"
"1 day","4 days","Neither Agree nor Disagree","Agree"
"3 days","7 days","Strongly Agree","Disagree"
"4 days","6 days","Strongly Disagree","Strongly Agree"
"4 days","6 days","Strongly Disagree","Neither Agree nor Disagree"
"5 days","2 days","Strongly Agree","Strongly Agree"
"4 days","3 days","Neither Agree nor Disagree","Strongly Agree"
"7 days","4 days","Disagree","Agree"
"6 days","2 days","Strongly Agree","Neither Agree nor Disagree"
"4 days","6 days","Agree","Neither Agree nor Disagree"
"0 days","0 days","Strongly Disagree","Disagree"
"7 days","5 days","Strongly Agree","Agree"
"7 days","4 days","Strongly Agree","Strongly Agree"
"1 day","1 day","Strongly Disagree","Disagree"
"0 days","3 days","Strongly Disagree","Disagree"
"7 days","1 day","Strongly Agree","Neither Agree nor Disagree"
"1 day","0 days","Agree","Neither Agree nor Disagree"
"4 days","6 days","Strongly Agree","Strongly Agree"
"4 days","4 days","Agree","Strongly Disagree"
"0 days","5 days","Strongly Agree","Strongly Agree"
"6 days","1 day","Strongly Agree","Disagree"
"6 days","4 days","Strongly Disagree","Neither Agree nor Disagree"
"1 day","5 days","Disagree","Neither Agree nor Disagree"
"4 days","0 days","Strongly Agree","Agree"
"3 days","7 days","Strongly Disagree","Strongly Agree"
"1 day","0 days","Strongly Agree","Strongly Disagree"
"7 days","7 days","Agree","Strongly Agree"
"6 days","5 days","Neither Agree nor Disagree","Disagree"
"5 days","1 day","Agree","Disagree"
"6 days","7 days","Neither Agree nor Disagree","Strongly Disagree"
"1 day","5 days","Strongly Disagree","Strongly Agree"
"2 days","3 days","Strongly Disagree","Strongly Agree"
"0 days","1 day","Strongly Disagree","Neither Agree nor Disagree"
"0 days","7 days","Strongly Agree","Strongly Agree"
"4 days","6 days","Strongly Disagree","Neither Agree nor Disagree"
"4 days","0 days","Agree","Strongly Disagree"
"2 days","7 days","Strongly Agree","Agree"
"1 day","0 days","Disagree","Disagree"
"4 days","0 days","Strongly Disagree","Agree"
"5 days","3 days","Agree","Agree"
"4 days","0 days","Strongly Agree","Strongly Agree"
"2 days","2 days","Neither Agree nor Disagree","Strongly Disagree"
"2 days","7 days","Strongly Disagree","Agree"
"0 days","1 day","Agree","Disagree"
"3 days","0 days","Agree","Agree"
"1 day","0 days","Strongly Disagree","Agree"
"6 days","6 days","Strongly Disagree","Neither Agree nor Disagree"
"0 days","6 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"6 days","4 days","Agree","Strongly Disagree"
"1 day","4 days","Strongly Agree","Disagree"
"7 days","3 days","Strongly Disagree","Disagree"
"3 days","5 days","Strongly Disagree","Agree"
"4 days","3 days","Strongly Agree","Disagree"
"7 days","7 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"0 days","6 days","Agree","Agree"
"0 days","3 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"0 days","4 days","Disagree","Strongly Disagree"
"4 days","3 days","Disagree","Agree"
"6 days","0 days","Agree","Agree"
"5 days","2 days","Neither Agree nor Disagree","Strongly Agree"
"5 days","4 days","Disagree","Strongly Disagree"
"5 days","3 days","Agree","Neither Agree nor Disagree"
"2 days","1 day","Agree","Disagree"
"0 days","5 days","Strongly Agree","Disagree"
"1 day","6 days","Strongly Agree","Agree"
"1 day","0 days","Strongly Disagree","Agree"
"0 days","3 days","Strongly Agree","Disagree"
"1 day","7 days","Neither Agree nor Disagree","Strongly Agree"
"0 days","6 days","Disagree","Strongly Agree"
"4 days","0 days","Strongly Disagree","Strongly Disagree"
"1 day","6 days","Strongly Disagree","Strongly Disagree"
"2 days","2 days","Neither Agree nor Disagree","Strongly Agree"
"4 days","0 days","Disagree","Neither Agree nor Disagree"
"6 days","2 days","Disagree","Strongly Disagree"
"3 days","6 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"4 days","2 days","Strongly Agree","Neither Agree nor Disagree"
"1 day","6 days","Strongly Agree","Neither Agree nor Disagree"
"0 days","6 days","Strongly Agree","Agree"
"3 days","1 day","Agree","Strongly Disagree"
"5 days","2 days","Strongly Disagree","Strongly Agree"
"1 day","5 days","Disagree","Neither Agree nor Disagree"
"5 days","6 days","Agree","Strongly Agree"
"6 days","3 days","Strongly Agree","Agree"
"4 days","1 day","Disagree","Strongly Disagree"
"0 days","0 days","Agree","Strongly Agree"
"7 days","7 days","Strongly Disagree","Agree"
"4 days","7 days","Strongly Agree","Strongly Disagree"
"0 days","4 days","Agree","Agree"
"3 days","2 days","Strongly Agree","Strongly Disagree"
"2 days","3 days","Disagree","Strongly Disagree"
"0 days","7 days","Strongly Agree","Agree"
"5 days","4 days","Agree","Neither Agree nor Disagree"
"0 days","5 days","Strongly Disagree","Strongly Disagree"
"1 day","4 days","Disagree","Disagree"
"3 days","5 days","Disagree","Strongly Agree"
"1 day","3 days","Disagree","Strongly Disagree"
"0 days","5 days","Strongly Agree","Agree"
"4 days","0 days","Strongly Agree","Disagree"
"4 days","0 days","Neither Agree nor Disagree","Disagree"
"0 days","3 days","Disagree","Disagree"
"7 days","5 days","Disagree","Neither Agree nor Disagree"
"6 days","7 days","Neither Agree nor Disagree","Disagree"
"0 days","2 days","Neither Agree nor Disagree","Strongly Agree"
"4 days","4 days","Neither Agree nor Disagree","Strongly Disagree"
"4 days","1 day","Agree","Strongly Disagree"
"1 day","0 days","Strongly Disagree","Disagree"
"1 day","3 days","Strongly Agree","Neither Agree nor Disagree"
"6 days","3 days","Disagree","Agree"
"5 days","5 days","Strongly Disagree","Disagree"
"6 days","3 days","Strongly Disagree","Agree"
"4 days","2 days","Strongly Disagree","Agree"
"0 days","1 day","Strongly Agree","Strongly Disagree"
"7 days","1 day","Strongly Disagree","Neither Agree nor Disagree"
"0 days","2 days","Disagree","Neither Agree nor Disagree"
"4 days","4 days","Agree","Agree"
"4 days","5 days","Disagree","Disagree"
"3 days","3 days","Strongly Agree","Disagree"
"6 days","2 days","Disagree","Strongly Disagree"
"4 days","2 days","Disagree","Disagree"
"7 days","0 days","Strongly Agree","Strongly Disagree"
"4 days","6 days","Agree","Neither Agree nor Disagree"
"6 days","4 days","Neither Agree nor Disagree","Disagree"
"6 days","4 days","Strongly Agree","Neither Agree nor Disagree"
"3 days","6 days","Neither Agree nor Disagree","Strongly Disagree"
"1 day","0 days","Agree","Strongly Disagree"
"4 days","0 days","Strongly Disagree","Strongly Disagree"
"0 days","6 days","Agree","Strongly Agree"
"0 days","7 days","Disagree","Strongly Disagree"
"1 day","0 days","Strongly Disagree","Strongly Disagree"
"0 days","4 days","Strongly Agree","Agree"
"1 day","4 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"4 days","7 days","Agree","Disagree"
"7 days","7 days","Agree","Disagree"
"0 days","3 days","Strongly Disagree","Agree"
"6 days","1 day","Agree","Strongly Disagree"
"2 days","5 days","Agree","Strongly Disagree"
"1 day","1 day","Neither Agree nor Disagree","Agree"
"1 day","3 days","Strongly Disagree","Strongly Disagree"
"4 days","1 day","Strongly Agree","Strongly Disagree"
"6 days","6 days","Agree","Strongly Agree"
"3 days","6 days","Neither Agree nor Disagree","Strongly Disagree"
"0 days","5 days","Agree","Disagree"
"4 days","7 days","Agree","Neither Agree nor Disagree"
"1 day","0 days","Agree","Strongly Agree"
"4 days","7 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"5 days","2 days","Neither Agree nor Disagree","Strongly Disagree"
"1 day","4 days","Neither Agree nor Disagree","Disagree"
"1 day","2 days","Agree","Strongly Agree"
"5 days","6 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"3 days","6 days","Neither Agree nor Disagree","Strongly Disagree"
"7 days","0 days","Disagree","Disagree"
"7 days","7 days","Agree","Disagree"
"7 days","1 day","Agree","Agree"
"2 days","6 days","Disagree","Agree"
"3 days","6 days","Agree","Neither Agree nor Disagree"
"2 days","3 days","Strongly Agree","Agree"
"2 days","3 days","Agree","Neither Agree nor Disagree"
"2 days","0 days","Strongly Disagree","Agree"
"4 days","4 days","Strongly Agree","Strongly Agree"
"6 days","0 days","Neither Agree nor Disagree","Disagree"
"2 days","3 days","Neither Agree nor Disagree","Strongly Agree"
"6 days","2 days","Strongly Disagree","Strongly Agree"
"7 days","6 days","Strongly Disagree","Strongly Agree"
"1 day","3 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"6 days","7 days","Agree","Neither Agree nor Disagree"
"6 days","7 days","Agree","Agree"
"2 days","4 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"0 days","4 days","Strongly Agree","Strongly Agree"
"4 days","7 days","Strongly Disagree","Strongly Disagree"
"6 days","5 days","Strongly Agree","Neither Agree nor Disagree"
"5 days","3 days","Strongly Disagree","Strongly Disagree"
"6 days","2 days","Strongly Disagree","Strongly Disagree"
"5 days","2 days","Agree","Strongly Disagree"
"0 days","1 day","Neither Agree nor Disagree","Agree"
"3 days","7 days","Agree","Neither Agree nor Disagree"
"1 day","4 days","Neither Agree nor Disagree","Agree"
"5 days","6 days","Strongly Disagree","Disagree"
"1 day","4 days","Disagree","Disagree"
"3 days","7 days","Neither Agree nor Disagree","Agree"
"0 days","7 days","Neither Agree nor Disagree","Disagree"
"3 days","0 days","Strongly Disagree","Disagree"
"4 days","2 days","Strongly Disagree","Neither Agree nor Disagree"
"4 days","1 day","Strongly Disagree","Disagree"
"2 days","6 days","Strongly Disagree","Agree"
"6 days","2 days","Disagree","Neither Agree nor Disagree"
"4 days","3 days","Disagree","Disagree"
"4 days","6 days","Strongly Disagree","Strongly Disagree"
"2 days","1 day","Disagree","Strongly Disagree"
"0 days","4 days","Agree","Strongly Agree"
"2 days","2 days","Strongly Disagree","Disagree"
"3 days","7 days","Neither Agree nor Disagree","Disagree"
"1 day","7 days","Neither Agree nor Disagree","Strongly Disagree"
"4 days","2 days","Strongly Agree","Neither Agree nor Disagree"
"0 days","1 day","Disagree","Agree"
"6 days","1 day","Agree","Disagree"
"3 days","7 days","Agree","Disagree"
"5 days","7 days","Disagree","Strongly Agree"
"2 days","3 days","Strongly Disagree","Disagree"
"5 days","1 day","Disagree","Neither Agree nor Disagree"
"0 days","7 days","Strongly Agree","Strongly Agree"
"1 day","6 days","Disagree","Neither Agree nor Disagree"
"6 days","6 days","Strongly Agree","Neither Agree nor Disagree"
"5 days","5 days","Strongly Disagree","Disagree"
"2 days","0 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2 days","3 days","Agree","Neither Agree nor Disagree"
"0 days","7 days","Strongly Disagree","Strongly Disagree"
"1 day","0 days","Strongly Disagree","Strongly Disagree"
"7 days","4 days","Agree","Strongly Agree"
"0 days","1 day","Strongly Agree","Neither Agree nor Disagree"
"5 days","4 days","Disagree","Disagree"
"1 day","1 day","Strongly Disagree","Agree"
"7 days","1 day","Strongly Disagree","Strongly Agree"
"1 day","6 days","Disagree","Strongly Disagree"
"7 days","6 days","Agree","Strongly Agree"
"1 day","6 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"4 days","7 days","Neither Agree nor Disagree","Strongly Agree"
"3 days","2 days","Strongly Disagree","Disagree"
"5 days","1 day","Disagree","Strongly Disagree"
"3 days","5 days","Strongly Agree","Strongly Agree"
"4 days","5 days","Neither Agree nor Disagree","Agree"
"3 days","2 days","Disagree","Disagree"
"5 days","6 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"0 days","2 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"7 days","0 days","Disagree","Agree"
"7 days","6 days","Neither Agree nor Disagree","Disagree"
"6 days","0 days","Agree","Agree"
"1 day","6 days","Neither Agree nor Disagree","Strongly Disagree"
"0 days","5 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"6 days","7 days","Disagree","Strongly Disagree"
"1 day","7 days","Strongly Agree","Neither Agree nor Disagree"
"7 days","4 days","Strongly Agree","Disagree"
"2 days","0 days","Agree","Strongly Disagree"
"1 day","4 days","Agree","Agree"
"6 days","6 days","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2 days","7 days","Strongly Disagree","Disagree"
"0 days","0 days","Strongly Agree","Neither Agree nor Disagree"
"3 days","1 day","Strongly Agree","Agree"
"1 day","7 days","Strongly Agree","Strongly Disagree"
"2 days","0 days","Strongly Agree","Strongly Agree"
"4 days","2 days","Neither Agree nor Disagree","Disagree"
"4 days","7 days","Agree","Strongly Agree"
"6 days","2 days","Strongly Disagree","Strongly Agree"
"5 days","3 days","Strongly Agree","Strongly Disagree"
"2 days","6 days","Disagree","Neither Agree nor Disagree"
"5 days","7 days","Strongly Disagree","Strongly Agree"
"5 days","1 day","Strongly Agree","Agree"
"1 day","3 days","Neither Agree nor Disagree","Disagree"
"7 days","2 days","Strongly Disagree","Neither Agree nor Disagree"
"4 days","5 days","Disagree","Neither Agree nor Disagree"
"3 days","0 days","Disagree","Neither Agree nor Disagree"
"1 day","2 days","Disagree","Strongly Agree"
"0 days","3 days","Strongly Agree","Neither Agree nor Disagree"
"7 days","1 day","Strongly Agree","Strongly Agree"
"3 days","5 days","Agree","Strongly Agree"
"0 days","4 days","Neither Agree nor Disagree","Disagree"
"3 days","1 day","Neither Agree nor Disagree","Agree"
"4 days","0 days","Strongly Disagree","Disagree"
"3 days","1 day","Neither Agree nor Disagree","Strongly Agree"
"1 day","2 days","Neither Agree nor Disagree","Agree"
"1 day","2 days","Strongly Disagree","Agree"
"3 days","1 day","Agree","Neither Agree nor Disagree"
"6 days","1 day","Agree","Neither Agree nor Disagree"
"2 days","7 days","Neither Agree nor Disagree","Disagree"
"4 days","3 days","Neither Agree nor Disagree","Strongly Disagree"
